Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Chi Chi González","MIA",0,1,0,5.33146,3,2,0,0,12,52,13,8,7,2,4,0,1,7,5.28852,2.97232,1.77925,1.34952,0.133273,0.0749038,0.05836900323629379,0.281185,1.46468,0.298609,0.654139,,,5.01056,-0.00843043,-0.0885071,999,3.5905,-0.872614,1.06414,"14663"
"Brent Suter","COL",4,4,0,4.82528,60,0,0,7,66,286,73,38,35,9,21,1,2,51,7.04775,2.82489,2.49488,1.28668,0.179628,0.0719986,0.10762909054756165,0.276466,1.42198,0.313148,0.686853,,,4.45892,-0.00895502,0.0996781,750.6799926757812,3.76232,0.834861,0.420753,"13942"
"Eric Stout","CHC",0,0,0,4.94047,7,0,0,0,8,35,7,5,4,1,5,0,0,8,9.63258,5.71945,1.68418,1.1415,0.241748,0.143541,0.0982075035572052,0.235188,1.52728,0.294816,0.689482,,,4.52717,-0.00939831,-0.0969201,999,2.30074,-0.575878,1.1043,"16873"
"Jake Reed",,1,0,0,4.49014,11,0,0,1,11,49,11,6,6,1,4,0,1,10,7.70477,3.56395,2.16186,1.16084,0.196726,0.0909985,0.10572772473096848,0.251149,1.36859,0.292158,0.695533,,,4.51422,-0.0112938,-0.0431059,999,1.56494,2.13753,1.10378,"16209"
"Nick Anderson","ATL",2,1,0,4.2815,35,0,1,3,34,144,35,18,16,6,9,1,1,33,8.56553,2.30652,3.71361,1.48193,0.225545,0.0607346,0.16481012478470802,0.26195,1.28555,0.307376,0.72838,,,4.22074,-0.0113835,-0.00873491,750.739990234375,1.33021,0.619066,0.772391,"18337"
"Jake Walsh","STL",0,1,0,4.02651,8,0,0,0,8,35,7,4,4,1,3,0,0,9,9.47989,3.66631,2.58568,1.27595,0.247376,0.0956717,0.1517045646905899,0.235119,1.29881,0.28874,0.738431,,,4.24843,-0.0113847,0.00659425,999,1.66336,1.05644,1.17373,"20227"
"Zack Britton",,1,1,0,3.95565,24,0,0,5,23,102,21,11,10,1,14,0,1,19,7.57349,5.39112,1.40481,0.573147,0.188033,0.13385,0.054183512926101685,0.24437,1.53687,0.298081,0.731591,,,4.16955,-0.0117081,0.0714074,740.9500122070312,2.18841,0.298282,0.937823,"3240"
"Jose Marte","LAA",0,1,0,4.69357,10,0,0,0,10,43,8,5,5,1,6,0,0,11,9.96693,5.547,1.79681,1.09733,0.250478,0.139401,0.11107657849788666,0.231369,1.48928,0.29526,0.699555,,,4.42766,-0.0126897,0.00735131,999,1.35999,0.32749,1.09901,"21761"
"Sam Coonrod","NYM",1,2,0,4.61851,26,0,0,3,26,114,25,15,13,3,11,0,2,25,8.75601,3.93501,2.22515,1.03348,0.222913,0.100179,0.12273431569337845,0.248936,1.39841,0.305162,0.679209,,,4.16921,-0.0131228,-0.186747,999,2.35707,-0.487007,0.807297,"17264"
"T.J. McFarland","NYM",0,1,0,4.26903,10,0,0,1,10,42,10,5,5,1,3,0,0,6,5.79017,2.6067,2.22126,0.978409,0.149452,0.0672824,0.08216948062181473,0.269688,1.36054,0.298926,0.699269,,,4.2405,-0.013312,0.00824281,999,1.7186,1.01241,1.16802,"3237"
"Edwin Uceta","DET",0,2,0,4.29423,18,0,0,1,22,94,20,11,10,3,10,1,1,22,9.14893,4.1065,2.22792,1.13814,0.235929,0.105897,0.1300322636961937,0.239432,1.36922,0.294569,0.713478,,,4.2106,-0.0138037,-0.0189251,999,3.01393,-2.15677,0.970091,"20539"
"Anthony Banda",,0,0,0,4.87077,14,0,0,1,14,63,15,8,8,2,6,0,1,13,8.18113,3.68122,2.22239,1.25699,0.204464,0.0920016,0.11246220767498016,0.274377,1.50559,0.324605,0.700223,,,4.4579,-0.0138308,-0.0707375,999,2.58647,-1.03534,1.00208,"14706"
"Bruce Zimmermann","BAL",1,2,1,4.50367,15,4,0,1,31,132,33,17,16,5,8,0,1,24,6.96651,2.36027,2.95157,1.55333,0.182046,0.0616775,0.1203681044280529,0.26629,1.31477,0.292735,0.718309,,,4.70645,-0.0138717,0.032556,999,2.37404,-1.34019,0.826977,"20370"
"Kenny Rosenberg","LAA",0,0,0,4.83517,4,0,0,0,7,31,6,4,4,1,3,0,0,6,8.06052,3.9656,2.03261,1.23582,0.211894,0.104247,0.10764680802822113,0.234036,1.3267,0.271966,0.65471,,,4.42815,-0.0152738,-0.0463548,999,1.58021,1.55423,1.18782,"20009"
"Chris Murphy","BOS",0,1,0,4.55725,9,0,0,1,9,39,9,5,5,1,4,0,0,8,8.05816,3.59599,2.24088,1.17717,0.206043,0.0919476,0.1140955314040184,0.257631,1.40597,0.304005,0.699656,,,4.33922,-0.0157668,-0.0269036,999,1.12573,1.18617,1.12977,"sa3011431"
"Tyler Duffey",,1,2,0,4.18896,27,0,0,6,27,116,26,14,13,3,10,0,1,25,8.2602,3.2944,2.50735,1.14876,0.214585,0.0855825,0.1290024369955063,0.249416,1.3297,0.296648,0.715712,,,4.17647,-0.0158991,-0.0300278,999,1.62825,1.11936,0.889399,"13758"
