Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Nathan Lukes","TOR",11,41,38,9,6,2,0,1,4,4,3,0,8,0,0,0,1,1,0,0.235275,0.0625358,0.206523,0.302803,0.288784,0.338425,0.276313,0.627209,0.103151,4.48716,0.287753,,0.0230994,3.5894,-1.086,78.6638,0.0230994,0,-0.9586040377616882,-0.2952499985694885,0.00508552,999,,,,"sa875215"
"Khalil Lee","NYM",7,13,12,2,2,1,0,0,1,1,1,0,5,0,0,0,0,0,0,0.201174,0.0961382,0.361458,0.265973,0.293587,0.312955,0.27501,0.606542,0.111781,5.60182,0.316141,,0.0295019,1.15864,-0.368569,81.2707,0.0295019,0,-0.2611310910433531,-0.14722222089767456,0.00430608,749.469970703125,,,,"19952"
"Lewis Brinson",,3,10,9,2,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0.224159,0.0594645,0.291556,0.203956,0.277803,0.370088,0.284307,0.647891,0.145928,5.04242,0.294604,,0.00304441,0.967352,-0.207672,83.4057,0.00304441,0,-0.195076524047181,-0.11327160149812698,0.00392579,999,,,,"14352"
"Billy Hamilton",,9,19,18,4,3,1,0,0,2,1,1,0,5,0,0,0,0,1,0,0.200366,0.0694026,0.278156,0.249509,0.257651,0.266742,0.236399,0.524393,0.0663765,7.10623,0.280204,,0.115039,1.08727,-1.12979,49.2709,0.115039,0.27,-0.9917875230312347,0.40692901611328125,0.00343172,999,,,,"10199"
"Michael Chavis",,15,55,51,12,7,2,0,2,6,6,3,0,16,1,0,0,1,0,0,0.228864,0.0542831,0.289259,0.187662,0.278306,0.379804,0.287219,0.65811,0.15094,4.15967,0.297385,,-0.00878803,5.31228,-0.985689,82.2122,-0.00878803,0.02,-1.147059484384954,-0.6795370392501354,0.00278373,741.52001953125,,,,"17321"
"Wilyer Abreu","BOS",6,17,15,3,2,1,0,0,2,2,2,0,5,0,0,0,0,0,0,0.219214,0.0966564,0.298459,0.323851,0.299642,0.350738,0.28927,0.65038,0.131524,5.14038,0.303945,,0.0234447,1.70129,-0.282163,81.5212,0.0234447,0,-0.3372502140700817,-0.19120371341705322,0.0025219,999,,,,"sa3005082"
"Steven Duggar","LAD",6,16,15,3,2,1,0,0,2,2,1,0,5,0,0,0,0,0,0,0.215807,0.0838417,0.324745,0.258177,0.28486,0.349934,0.280031,0.634794,0.134127,5.67638,0.306229,,0.0186984,1.47661,-0.384148,80.467,0.0186984,0,-0.35060524567961693,-0.17937611043453217,0.00184024,999,,,,"17719"
"Heliot Ramos","SFG",5,15,14,3,2,1,0,0,2,1,1,0,4,0,0,0,0,0,0,0.240933,0.0670827,0.267255,0.251006,0.299591,0.360184,0.290605,0.659775,0.119251,4.96599,0.318645,,0.0169876,1.49989,-0.230058,87.7118,0.0169876,-0.08,-0.19900869578123093,-0.2939351797103882,0.00168772,750.6300048828125,,,,"22515"
"Vinny Capra","TOR",7,11,10,2,2,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0.228579,0.071438,0.222096,0.321654,0.290291,0.343652,0.280792,0.633944,0.115073,4.36674,0.282096,,0.00623222,0.989903,-0.249269,81.8263,0.00623222,0,-0.2153935837559402,-0.11945546418428421,0.00108263,999,,,,"25040"
"Ryan Vilade","PIT",9,36,33,8,6,1,0,0,4,3,3,0,7,0,0,0,1,1,0,0.234176,0.0721611,0.191418,0.376981,0.294209,0.330298,0.27724,0.624507,0.0961227,5.052,0.281489,,0.0565556,3.18205,-0.92825,76.3709,0.0565556,0.15,-0.9302780404686928,-0.27064815163612366,0.000890723,999,,,,"22165"
